StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
1970/01/01 01:04:41.019374,0.032403,udp,10.0.2.15,62352,  <->,192.168.33.254,53,CON,0.0,0.0,2,202,77,0
1970/01/01 01:04:41.060412,0.028745,udp,10.0.2.15,51314,  <->,192.168.33.254,53,CON,0.0,0.0,2,172,78,0
1970/01/01 01:04:41.092656,0.044931,udp,10.0.2.15,62414,  <->,192.168.33.254,53,CON,0.0,0.0,2,224,78,0
1970/01/01 01:04:41.402177,5.322606,tcp,10.0.2.15,49165,   ->,52.222.171.185,443,FSPA_FSPA,0.0,0.0,19,5125,871,0
1970/01/01 01:04:43.789712,5.157962,tcp,10.0.2.15,49166,   ->,52.222.171.185,443,FSPA_FSPA,0.0,0.0,19,5125,871,0
1970/01/01 01:04:46.191860,0.064094,udp,10.0.2.15,49688,  <->,192.168.33.254,53,CON,0.0,0.0,2,158,71,0
1970/01/01 01:04:46.239084,0.046152,udp,10.0.2.15,56149,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:04:46.261509,6.060195,tcp,10.0.2.15,49167,   ->,216.58.207.78,80,FSA_FSA,0.0,0.0,7,394,228,0
1970/01/01 01:04:46.268044,0.055147,udp,10.0.2.15,64872,  <->,192.168.33.254,53,CON,0.0,0.0,2,158,71,0
1970/01/01 01:04:46.317516,0.044467,udp,10.0.2.15,51446,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:04:46.338730,0.060808,udp,10.0.2.15,59407,  <->,192.168.33.254,53,CON,0.0,0.0,2,158,71,0
1970/01/01 01:04:46.366848,0.042634,udp,10.0.2.15,51554,  <->,192.168.33.254,53,CON,0.0,0.0,2,182,83,0
1970/01/01 01:04:46.407101,0.057029,udp,10.0.2.15,60399,  <->,192.168.33.254,53,CON,0.0,0.0,2,170,71,0
1970/01/01 01:04:46.419012,0.07258,udp,10.0.2.15,56613,  <->,192.168.33.254,53,CON,0.0,0.0,2,194,83,0
1970/01/01 01:04:46.544428,245.588669,tcp,10.0.2.15,49168,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,809,604209,34870,0
1970/01/01 01:04:46.701633,0.043782,udp,10.0.2.15,64931,  <->,192.168.33.254,53,CON,0.0,0.0,2,198,79,0
1970/01/01 01:04:46.748759,158.592285,tcp,10.0.2.15,49169,   ->,216.58.207.78,80,FSPA_FSPA,0.0,0.0,69,15149,5641,0
1970/01/01 01:04:46.754877,0.042393,udp,10.0.2.15,49803,  <->,192.168.33.254,53,CON,0.0,0.0,2,198,79,0
1970/01/01 01:04:46.761661,1.439364,tcp,10.0.2.15,49170,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,95,53464,2165,0
1970/01/01 01:04:46.801110,0.067215,udp,10.0.2.15,49261,  <->,192.168.33.254,53,CON,0.0,0.0,2,176,80,0
1970/01/01 01:04:46.840626,5.454173,tcp,10.0.2.15,49171,   ->,216.58.207.78,80,FSA_FSA,0.0,0.0,7,394,228,0
1970/01/01 01:04:46.874610,0.071115,udp,10.0.2.15,56056,  <->,192.168.33.254,53,CON,0.0,0.0,2,188,80,0
1970/01/01 01:04:47.236621,0.042012,udp,10.0.2.15,50716,  <->,192.168.33.254,53,CON,0.0,0.0,2,206,77,0
1970/01/01 01:04:47.283545,189.283264,tcp,10.0.2.15,49172,   ->,216.58.207.67,443,FSPA_FSPA,0.0,0.0,43,7604,1799,0
1970/01/01 01:04:47.284760,0.119855,tcp,10.0.2.15,49173,   ->,216.58.207.67,443,FSRPA_SPA,0.0,0.0,20,5937,998,0
1970/01/01 01:04:47.291348,0.043483,udp,10.0.2.15,57293,  <->,192.168.33.254,53,CON,0.0,0.0,2,206,77,0
1970/01/01 01:04:47.340431,0.048639,udp,10.0.2.15,49407,  <->,192.168.33.254,53,CON,0.0,0.0,2,186,85,0
1970/01/01 01:04:47.396196,0.033195,udp,10.0.2.15,62297,  <->,192.168.33.254,53,CON,0.0,0.0,2,198,85,0
1970/01/01 01:04:48.320015,0.061197,udp,10.0.2.15,53402,  <->,192.168.33.254,53,CON,0.0,0.0,2,210,84,0
1970/01/01 01:04:48.321761,0.064539,udp,10.0.2.15,52765,  <->,192.168.33.254,53,CON,0.0,0.0,2,222,90,0
1970/01/01 01:04:48.385077,192.281754,tcp,10.0.2.15,49174,   ->,216.58.207.66,443,FSPA_FSPA,0.0,0.0,78,22551,5239,0
1970/01/01 01:04:48.397408,0.045404,udp,10.0.2.15,49262,  <->,192.168.33.254,53,CON,0.0,0.0,2,190,87,0
1970/01/01 01:04:48.401130,0.066202,udp,10.0.2.15,61615,  <->,192.168.33.254,53,CON,0.0,0.0,2,210,84,0
1970/01/01 01:04:48.449128,0.08575,udp,10.0.2.15,58302,  <->,192.168.33.254,53,CON,0.0,0.0,2,234,87,0
1970/01/01 01:04:48.475291,0.059469,udp,10.0.2.15,62264,  <->,192.168.33.254,53,CON,0.0,0.0,2,190,87,0
1970/01/01 01:04:48.542812,0.058218,udp,10.0.2.15,57168,  <->,192.168.33.254,53,CON,0.0,0.0,2,234,87,0
1970/01/01 01:04:48.612040,0.062044,udp,10.0.2.15,55024,  <->,192.168.33.254,53,CON,0.0,0.0,2,190,71,0
1970/01/01 01:04:48.679983,0.21442,tcp,10.0.2.15,49175,   ->,216.58.207.78,443,FSRPA_FSRPA,0.0,0.0,26,6323,1102,0
1970/01/01 01:04:48.689227,0.106772,udp,10.0.2.15,60460,  <->,192.168.33.254,53,CON,0.0,0.0,2,190,71,0
1970/01/01 01:04:48.805418,0.090923,udp,10.0.2.15,60349,  <->,192.168.33.254,53,CON,0.0,0.0,2,178,81,0
1970/01/01 01:04:48.904586,0.051207,udp,10.0.2.15,58482,  <->,192.168.33.254,53,CON,0.0,0.0,2,190,81,0
1970/01/01 01:04:51.018253,0.158964,tcp,10.0.2.15,49176,   ->,216.58.207.66,443,FSRPA_SPA,0.0,0.0,24,5928,1067,0
1970/01/01 01:04:51.032773,0.072168,udp,10.0.2.15,52615,  <->,192.168.33.254,53,CON,0.0,0.0,2,215,87,0
1970/01/01 01:04:51.036130,0.069642,udp,10.0.2.15,52910,  <->,192.168.33.254,53,CON,0.0,0.0,2,207,73,0
1970/01/01 01:04:51.039807,0.073718,udp,10.0.2.15,49424,  <->,192.168.33.254,53,CON,0.0,0.0,2,187,71,0
1970/01/01 01:04:51.108454,224.955933,tcp,10.0.2.15,49177,   ->,216.58.206.2,443,FSPA_FSPA,0.0,0.0,63,11721,3551,0
1970/01/01 01:04:51.119127,0.056048,udp,10.0.2.15,61624,  <->,192.168.33.254,53,CON,0.0,0.0,2,204,94,0
1970/01/01 01:04:51.120651,0.054646,udp,10.0.2.15,50970,  <->,192.168.33.254,53,CON,0.0,0.0,2,172,78,0
1970/01/01 01:04:51.122712,0.053748,udp,10.0.2.15,56986,  <->,192.168.33.254,53,CON,0.0,0.0,2,187,75,0
1970/01/01 01:04:51.161556,0.077113,udp,10.0.2.15,57396,  <->,192.168.33.254,53,CON,0.0,0.0,2,164,74,0
1970/01/01 01:04:51.168578,0.07019,udp,10.0.2.15,62922,  <->,192.168.33.254,53,CON,0.0,0.0,2,229,85,0
1970/01/01 01:04:51.175250,1.166657,tcp,10.0.2.15,49178,   ->,216.58.206.2,443,FSPA_FSPA,0.0,0.0,30,7838,2136,0
1970/01/01 01:04:51.187367,0.095065,udp,10.0.2.15,53432,  <->,192.168.33.254,53,CON,0.0,0.0,2,184,78,0
1970/01/01 01:04:51.192671,0.096943,udp,10.0.2.15,62714,  <->,192.168.33.254,53,CON,0.0,0.0,2,216,94,0
1970/01/01 01:04:51.193287,0.096401,udp,10.0.2.15,57611,  <->,192.168.33.254,53,CON,0.0,0.0,2,170,77,0
1970/01/01 01:04:51.259955,192.515869,tcp,10.0.2.15,49179,   ->,216.58.207.65,443,FSPA_FSPA,0.0,0.0,39,6872,1753,0
1970/01/01 01:04:51.260448,2.557102,tcp,10.0.2.15,49180,   ->,216.58.211.4,443,FSPA_FSPA,0.0,0.0,25,5769,1134,0
1970/01/01 01:04:51.261490,225.801117,tcp,10.0.2.15,49181,   ->,216.58.211.4,443,FSPA_FSPA,0.0,0.0,59,11391,4170,0
1970/01/01 01:04:51.396091,1.953441,tcp,10.0.2.15,49182,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,26,6322,1156,0
1970/01/01 01:04:51.400819,1.902017,tcp,10.0.2.15,49183,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,23,6160,1102,0
1970/01/01 01:04:51.403215,1.926105,tcp,10.0.2.15,49184,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,28,6430,1156,0
1970/01/01 01:04:51.406960,1.922976,tcp,10.0.2.15,49185,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,27,6377,1156,0
1970/01/01 01:04:51.424565,1.914889,tcp,10.0.2.15,49186,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,25,6268,1102,0
1970/01/01 01:04:51.476029,1.872496,tcp,10.0.2.15,49187,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,25,6268,1102,0
1970/01/01 01:04:51.481295,0.164329,udp,10.0.2.15,49361,  <->,192.168.33.254,53,CON,0.0,0.0,2,182,77,0
1970/01/01 01:04:51.491675,0.153343,udp,10.0.2.15,61736,  <->,192.168.33.254,53,CON,0.0,0.0,2,197,73,0
1970/01/01 01:04:51.500947,0.119939,udp,10.0.2.15,50237,  <->,192.168.33.254,53,CON,0.0,0.0,2,229,82,0
1970/01/01 01:04:51.634432,0.092775,udp,10.0.2.15,60073,  <->,192.168.33.254,53,CON,0.0,0.0,2,206,95,0
1970/01/01 01:04:51.664349,0.086267,udp,10.0.2.15,58650,  <->,192.168.33.254,53,CON,0.0,0.0,2,184,84,0
1970/01/01 01:04:51.669986,0.081054,udp,10.0.2.15,58345,  <->,192.168.33.254,53,CON,0.0,0.0,2,215,87,0
1970/01/01 01:04:51.742680,0.076974,udp,10.0.2.15,63690,  <->,192.168.33.254,53,CON,0.0,0.0,2,218,95,0
1970/01/01 01:04:51.793940,0.058177,udp,10.0.2.15,51219,  <->,192.168.33.254,53,CON,0.0,0.0,2,196,84,0
1970/01/01 01:04:51.806075,0.068932,udp,10.0.2.15,63224,  <->,192.168.33.254,53,CON,0.0,0.0,2,188,86,0
1970/01/01 01:04:51.887301,0.160003,udp,10.0.2.15,54319,  <->,192.168.33.254,53,CON,0.0,0.0,2,229,85,0
1970/01/01 01:04:51.897473,0.127685,udp,10.0.2.15,59223,  <->,192.168.33.254,53,CON,0.0,0.0,2,164,74,0
1970/01/01 01:04:51.901647,0.14556,udp,10.0.2.15,65425,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,86,0
1970/01/01 01:04:52.040903,0.078298,udp,10.0.2.15,64816,  <->,192.168.33.254,53,CON,0.0,0.0,2,164,74,0
1970/01/01 01:04:52.067885,0.062317,udp,10.0.2.15,56072,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,92,0
1970/01/01 01:04:52.136675,0.069123,udp,10.0.2.15,53023,  <->,192.168.33.254,53,CON,0.0,0.0,2,212,92,0
1970/01/01 01:04:52.140810,0.130301,udp,10.0.2.15,59733,  <->,192.168.33.254,53,CON,0.0,0.0,2,176,74,0
1970/01/01 01:04:52.177237,191.597488,tcp,10.0.2.15,49188,   ->,216.58.207.65,443,FSPA_FSPA,0.0,0.0,55,15410,2244,0
1970/01/01 01:04:52.179140,2.341686,tcp,10.0.2.15,49189,   ->,216.58.207.65,443,FSPA_FSPA,0.0,0.0,36,13099,1705,0
1970/01/01 01:04:52.279342,6.697766,tcp,10.0.2.15,49190,   ->,216.58.207.78,80,FSA_FSA,0.0,0.0,7,394,228,0
1970/01/01 01:04:52.280850,153.062637,tcp,10.0.2.15,49191,   ->,216.58.207.78,80,FSPA_FSPA,0.0,0.0,48,7685,3025,0
1970/01/01 01:04:52.283586,142.085785,tcp,10.0.2.15,49192,   ->,216.58.207.78,80,FSPA_FSPA,0.0,0.0,49,7738,3024,0
1970/01/01 01:04:53.350847,6.616125,tcp,10.0.2.15,49193,   ->,216.58.207.78,80,FSA_FSA,0.0,0.0,7,394,228,0
1970/01/01 01:04:53.352672,6.611466,tcp,10.0.2.15,49194,   ->,216.58.207.78,80,FSA_FSA,0.0,0.0,7,394,228,0
1970/01/01 01:04:55.174129,0.041104,udp,10.0.2.15,51482,  <->,192.168.33.254,53,CON,0.0,0.0,2,162,73,0
1970/01/01 01:04:55.231827,204.681885,tcp,10.0.2.15,49195,   ->,216.58.211.3,443,FSPA_FSPA,0.0,0.0,55,9479,3097,0
1970/01/01 01:04:55.261394,0.05746,udp,10.0.2.15,60477,  <->,192.168.33.254,53,CON,0.0,0.0,2,162,73,0
1970/01/01 01:04:55.327368,0.053886,udp,10.0.2.15,64853,  <->,192.168.33.254,53,CON,0.0,0.0,2,162,73,0
1970/01/01 01:04:55.356678,0.041619,udp,10.0.2.15,56479,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:04:55.385993,0.041383,udp,10.0.2.15,65194,  <->,192.168.33.254,53,CON,0.0,0.0,2,174,73,0
1970/01/01 01:04:55.418055,0.05481,udp,10.0.2.15,58144,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:04:55.502047,0.036226,udp,10.0.2.15,51678,  <->,192.168.33.254,53,CON,0.0,0.0,2,182,83,0
1970/01/01 01:04:55.552247,0.043489,udp,10.0.2.15,57574,  <->,192.168.33.254,53,CON,0.0,0.0,2,194,83,0
1970/01/01 01:04:56.931039,0.054547,udp,10.0.2.15,53700,  <->,192.168.33.254,53,CON,0.0,0.0,2,187,75,0
1970/01/01 01:04:56.994472,0.054633,udp,10.0.2.15,59518,  <->,192.168.33.254,53,CON,0.0,0.0,2,170,77,0
1970/01/01 01:04:57.056323,0.073764,udp,10.0.2.15,52320,  <->,192.168.33.254,53,CON,0.0,0.0,2,182,77,0
1970/01/01 01:05:04.482013,190.282928,tcp,10.0.2.15,49196,   ->,216.58.207.70,443,FSPA_FSPA,0.0,0.0,41,7200,1750,0
1970/01/01 01:05:04.681604,1.065696,tcp,10.0.2.15,49197,   ->,216.58.207.70,443,FSPA_FSPA,0.0,0.0,36,7564,2180,0
1970/01/01 01:05:05.443415,0.685032,tcp,10.0.2.15,49198,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,22,5602,1052,0
1970/01/01 01:05:09.730095,0.050724,udp,10.0.2.15,54295,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:05:09.807927,0.059248,udp,10.0.2.15,50654,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:05:09.882176,0.058274,udp,10.0.2.15,58320,  <->,192.168.33.254,53,CON,0.0,0.0,2,182,83,0
1970/01/01 01:05:09.947257,0.052715,udp,10.0.2.15,53628,  <->,192.168.33.254,53,CON,0.0,0.0,2,194,83,0
1970/01/01 01:05:10.363216,0.056973,udp,10.0.2.15,55634,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:05:10.459068,0.048022,udp,10.0.2.15,62564,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:05:10.514941,0.046754,udp,10.0.2.15,61304,  <->,192.168.33.254,53,CON,0.0,0.0,2,182,83,0
1970/01/01 01:05:10.569408,0.032676,udp,10.0.2.15,61519,  <->,192.168.33.254,53,CON,0.0,0.0,2,194,83,0
1970/01/01 01:05:13.629255,0.045976,udp,10.0.2.15,64921,  <->,192.168.33.254,53,CON,0.0,0.0,2,197,73,0
1970/01/01 01:05:13.698989,0.284286,tcp,10.0.2.15,49199,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,22,6108,1050,0
1970/01/01 01:05:13.709198,0.07816,udp,10.0.2.15,54143,  <->,192.168.33.254,53,CON,0.0,0.0,2,197,73,0
1970/01/01 01:05:13.835448,0.079804,udp,10.0.2.15,49826,  <->,192.168.33.254,53,CON,0.0,0.0,2,184,84,0
1970/01/01 01:05:13.920415,0.058536,udp,10.0.2.15,52653,  <->,192.168.33.254,53,CON,0.0,0.0,2,229,92,0
1970/01/01 01:05:13.937373,0.043626,udp,10.0.2.15,62130,  <->,192.168.33.254,53,CON,0.0,0.0,2,196,84,0
1970/01/01 01:05:14.019228,30.962313,tcp,10.0.2.15,49200,   ->,173.194.10.206,443,FSPA_FSPA,0.0,0.0,125,80197,3815,0
1970/01/01 01:05:14.022473,30.884893,tcp,10.0.2.15,49201,   ->,173.194.10.206,443,FSPA_FSPA,0.0,0.0,167,130476,4087,0
1970/01/01 01:05:14.025856,5.613817,tcp,10.0.2.15,49202,   ->,173.194.10.206,443,FSPA_FSPA,0.0,0.0,21,6486,889,0
1970/01/01 01:05:14.029277,0.06619,udp,10.0.2.15,53400,  <->,192.168.33.254,53,CON,0.0,0.0,2,229,92,0
1970/01/01 01:05:14.111356,0.065824,udp,10.0.2.15,54689,  <->,192.168.33.254,53,CON,0.0,0.0,2,196,90,0
1970/01/01 01:05:14.191325,0.054651,udp,10.0.2.15,54681,  <->,192.168.33.254,53,CON,0.0,0.0,2,208,90,0
1970/01/01 01:05:15.125986,0.094662,udp,10.0.2.15,50112,  <->,192.168.33.254,53,CON,0.0,0.0,2,232,93,0
1970/01/01 01:05:15.235500,0.565229,tcp,10.0.2.15,49203,   ->,74.125.175.213,443,FSPA_FSPA,0.0,0.0,30,14149,2238,0
1970/01/01 01:05:15.303969,0.043855,udp,10.0.2.15,62748,  <->,192.168.33.254,53,CON,0.0,0.0,2,232,93,0
1970/01/01 01:05:15.376762,0.057833,udp,10.0.2.15,49787,  <->,192.168.33.254,53,CON,0.0,0.0,2,198,91,0
1970/01/01 01:05:15.458454,0.068904,udp,10.0.2.15,51694,  <->,192.168.33.254,53,CON,0.0,0.0,2,210,91,0
1970/01/01 01:05:16.058984,0.048448,udp,10.0.2.15,55899,  <->,192.168.33.254,53,CON,0.0,0.0,2,229,92,0
1970/01/01 01:05:16.113837,595.86554,tcp,10.0.2.15,49204,   ->,74.125.104.106,443,FSPA_FSPA,0.0,0.0,31773,28547238,341037,0
1970/01/01 01:05:16.158069,0.089153,udp,10.0.2.15,56715,  <->,192.168.33.254,53,CON,0.0,0.0,2,229,92,0
1970/01/01 01:05:16.273122,0.103709,udp,10.0.2.15,51665,  <->,192.168.33.254,53,CON,0.0,0.0,2,196,90,0
1970/01/01 01:05:16.444454,0.085173,udp,10.0.2.15,64935,  <->,192.168.33.254,53,CON,0.0,0.0,2,208,90,0
1970/01/01 01:05:21.618325,0.040095,udp,10.0.2.15,55893,  <->,192.168.33.254,53,CON,0.0,0.0,2,189,72,0
1970/01/01 01:05:21.681158,0.258346,tcp,10.0.2.15,49205,   ->,216.58.207.78,443,FSPA_FSPA,0.0,0.0,23,6162,1049,0
1970/01/01 01:05:21.703038,0.046773,udp,10.0.2.15,52158,  <->,192.168.33.254,53,CON,0.0,0.0,2,189,72,0
1970/01/01 01:05:21.774960,0.03478,udp,10.0.2.15,64623,  <->,192.168.33.254,53,CON,0.0,0.0,2,172,78,0
1970/01/01 01:05:21.843221,0.048662,udp,10.0.2.15,53086,  <->,192.168.33.254,53,CON,0.0,0.0,2,184,78,0
1970/01/01 01:05:25.127534,0.309215,udp,10.0.2.15,63204,  <->,192.168.33.254,53,CON,0.0,0.0,2,229,82,0
1970/01/01 01:05:25.148411,0.288735,udp,10.0.2.15,59860,  <->,192.168.33.254,53,CON,0.0,0.0,2,222,84,0
1970/01/01 01:05:25.152711,0.284495,udp,10.0.2.15,55634,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:05:25.462204,1.841625,tcp,10.0.2.15,49206,   ->,172.217.22.98,443,FSPA_FSPA,0.0,0.0,34,7479,1754,0
1970/01/01 01:05:25.466104,189.559097,tcp,10.0.2.15,49207,   ->,172.217.22.98,443,FSPA_FSPA,0.0,0.0,40,6923,1752,0
1970/01/01 01:05:25.497169,0.136734,udp,10.0.2.15,57242,  <->,192.168.33.254,53,CON,0.0,0.0,2,222,84,0
1970/01/01 01:05:25.521786,0.108078,udp,10.0.2.15,60612,  <->,192.168.33.254,53,CON,0.0,0.0,2,229,82,0
1970/01/01 01:05:25.553334,0.128747,udp,10.0.2.15,65266,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:05:25.646611,0.211913,udp,10.0.2.15,53182,  <->,192.168.33.254,53,CON,0.0,0.0,2,206,95,0
1970/01/01 01:05:25.648401,0.206407,udp,10.0.2.15,61619,  <->,192.168.33.254,53,CON,0.0,0.0,2,184,84,0
1970/01/01 01:05:25.693539,0.160735,udp,10.0.2.15,65187,  <->,192.168.33.254,53,CON,0.0,0.0,2,182,83,0
1970/01/01 01:05:25.890164,0.524731,udp,10.0.2.15,49625,  <->,192.168.33.254,53,CON,0.0,0.0,2,228,84,0
1970/01/01 01:05:25.893531,0.56742,udp,10.0.2.15,51196,  <->,192.168.33.254,53,CON,0.0,0.0,2,218,95,0
1970/01/01 01:05:25.900002,0.561318,udp,10.0.2.15,61078,  <->,192.168.33.254,53,CON,0.0,0.0,2,194,83,0
1970/01/01 01:05:27.077429,0.84694,udp,10.0.2.15,52488,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:05:27.939886,0.425217,udp,10.0.2.15,63304,  <->,192.168.33.254,53,CON,0.0,0.0,2,200,75,0
1970/01/01 01:05:28.394074,0.180487,udp,10.0.2.15,64790,  <->,192.168.33.254,53,CON,0.0,0.0,2,182,83,0
1970/01/01 01:05:28.586967,0.144749,udp,10.0.2.15,63977,  <->,192.168.33.254,53,CON,0.0,0.0,2,194,83,0
1970/01/01 01:05:31.675189,0.032497,udp,10.0.2.15,59513,  <->,192.168.33.254,53,CON,0.0,0.0,2,572,90,0
1970/01/01 01:05:31.721044,62.1805,tcp,10.0.2.15,49208,   ->,54.201.188.11,443,FSPA_FSPA,0.0,0.0,34,9757,5562,0
1970/01/01 01:05:31.880387,0.06536,udp,10.0.2.15,60002,  <->,192.168.33.254,53,CON,0.0,0.0,2,572,90,0
1970/01/01 01:05:32.089730,0.047187,udp,10.0.2.15,60227,  <->,192.168.33.254,53,CON,0.0,0.0,2,505,120,0
1970/01/01 01:05:32.113739,6.246571,tcp,10.0.2.15,49209,   ->,54.201.188.11,443,FSRPA_FSRPA,0.0,0.0,23,4689,920,0
